Artist,Track,Peak Position,Year,Peak Date
The Three Chuckles,Runaround,20,1954,11/13/54
The Lancers,"Let Me Go, Lover!",6,1954,12/18/54
Joan Weber,"Let Me Go, Lover!",1,1955,1/1/55
The Penguins,Earth Angel (Will You Be Mine),8,1955,2/5/55
Peggy King,Make Yourself Comfortable,30,1955,2/5/55
DeJohn Sisters,(My Baby Don't Love Me) No More,6,1955,2/12/55
Johnny Ace,Pledging My Love,17,1955,3/19/55
The Voices of Walter Schumann,The Ballad of Davy Crockett,29,1955,4/9/55
Laurie Sisters,Dixie Danny,30,1955,4/16/55
Lenny Dee,Plantation Boogie,19,1955,5/4/55
Nappy Brown,Don't Be Angry,25,1955,5/7/55
Caterina Valente,The Breeze and I (Andalucia),8,1955,5/14/55
Felicia Sanders,"Blue Star (The Medic Theme"")""",29,1955,5/28/55
Ferko String Band,Alabama Jubilee,18,1955,6/18/55
Lena Horne,Love Me or Leave Me,19,1955,7/9/55
Eddie Barclay and His Orchestra,The Bandit (O'Cangaceiro),18,1955,7/16/55
Marion Marlowe,The Man in the Raincoat,14 (J),1955,7/16/55
Priscilla Wright with Don Wright and The Septette,The Man in the Raincoat,16,1955,8/6/55
Cliffie Stone and His Orchestra,The Popcorn Song,14,1955,8/20/55
Chuck Miller,The House of Blue Lights,9,1955,8/27/55
Lillian Briggs,I Want You to Be My Baby,18,1955,10/1/55
The El Dorados,At My Front Door (Crazy Little Mama),17,1955,11/12/55
Bonnie Lou,Daddy-O,14,1955,12/3/55
Snooky Lanson,It's Almost Tomorrow,20,1955,12/3/55
Steve Allen,Autumn Leaves,35,1955,12/10/55
Julie London,Cry Me a River,9,1955,12/17/55
The Singing Dogs,Oh! Susanna,22,1955,12/17/55
Ricky Zahnd and the Blue Jeaners,(I'm Gettin') Nuttin' for Christmas,21,1955,12/24/55
Barry Gordon,Nuttin' for Christmas,6,1955,12/31/55
Joe Ward,Nuttin' for Xmas,20,1955,12/31/55
Kit Carson,Band of Gold,11,1956,1/7/56
The Turbans,When You Dance,33,1956,1/14/56
Count Basie,April in Paris,28,1956,2/4/56
Richard Hayman and Jan August,(A Theme from) the Three Penny Opera (Moritat),12,1956,2/11/56
Bobby Scott,Chain Gang,13,1956,2/18/56
Bonnie Sisters,Cry Baby,18,1956,3/3/56
The Four Voices,Lovely One,20,1956,3/17/56
Kay Thompson,Eloise,39,1956,3/17/56
The Blue Stars,Lullaby of Birdland,16,1956,3/24/56
Teddi King,Mr. Wonderful,18,1956,3/24/56
Lou Busch and His Orchestra,11th Hour Melody,35,1956,3/24/56
The Teen Queens,Eddie My Love,14,1956,3/31/56
Richard Maltby and His Orchestra,(Themes From) The Man with the Golden Arm,32,1956,3/31/56
Elmer Bernstein,Main Theme from The Man with the Golden Arm,32,1956,4/28/56
Carl Perkins,Blue Suede Shoes,2,1956,5/19/56
Morris Stoloff Conducting the Columbia Pictures Orchestra,Moonglow and Theme from Picnic,2,1956,6/2/56
Don Robertson,The Happy Whistler,6,1956,6/2/56
Cathy Carr,Ivory Tower,2,1956,6/16/56
"Joe ""Fingers"" Carr",Portuguese Washerwomen,25,1956,6/16/56
The Rover Boys,Graduation Day,16,1956,6/23/56
Tommy Leonetti,Free,23,1956,7/7/56
The Cadets,Stranded in the Jungle,15,1956,7/28/56
The Jayhawks,Stranded in the Jungle,18,1956,7/28/56
The Gadabouts,Stranded in the Jungle,39,1956,8/4/56
Eddie Lawrence,The Old Philosopher,34,1956,9/1/56
The Six Teens,A Casual Look,25,1956,9/1/56
Sanford Clark,The Fool,7,1956,9/22/56
Helmut Zacharias and His Magic Violins,When the White Lilacs Bloom Again,12,1956,9/22/56
The Lennon Sisters,Tonight You Belong to Me,16,1956,9/29/56
Grace Kelly,True Love,3,1956,10/6/56
Little Joe and the Thrillers,Peanuts,22,1956,10/13/56
Jane Powell,True Love,15,1956,10/27/56
Eddie Cooley,Priscilla,20,1956,11/24/56
The Highlights,City of Angels,19,1956,11/24/56
Sonny Knight,Confidential,17,1956,11/24/56
Joe Valino,Garden of Eden,12,1956,12/8/56
Gordon Jenkins and His Orchestra and Chorus,Blueberry Hill,29,1956,12/15/56
Sil Austin,Slow Walk,17,1956,12/22/56
Vince Martin,"Cindy, Oh Cindy",9,1956,12/22/56
Jerry Lewis,Rock-a-Bye Your Baby with a Dixie Melody,10,1956,12/29/56
Ivory Joe Hunter,Since I Met You Baby,12,1956,12/29/56
Joy Layne,Your Wild Heart,20,1957,2/23/57
Russell Arms,Cinco Robles (Five Oaks),22,1957,2/23/57
Moe Koffman Quartette,The Swingin' Shepherd Blues,23,1957,2/23/57
Mickey & Sylvia,Love Is Strange,11,1957,3/2/57
Jimmy McCracklin with his Band,The Walk,7,1957,3/9/57
The Jive Bombers,Bad Boy,36,1957,3/16/57
Johnny Dee,Sittin' in the Balcony,38,1957,3/16/57
Terry Gilkyson and the Easy Riders,Marianne,4,1957,4/6/57
Lou Stein,Almost Paradise,31,1957,4/6/57
Jimmy Bowen with The Rhythm Orchids,I'm Stickin' with You,14,1957,4/27/57
Ken Copeland,Pledge of Love,12,1957,5/6/57
The Mello-Tones,Rosie Lee,24,1957,5/13/57
Randy Starr,After School,32,1957,5/13/57
Bonnie Guitar,Dark Moon,6,1957,6/10/57
Marvin Rainwater,Gonna Find Me a Bluebird,18,1957,6/10/57
Charles McDevitt Skiffle Group,Freight Train,40,1957,6/10/57
Jimmy Newman,A Fallen Star,23,1957,6/10/57
Jodie Sands,With All My Heart,15,1957,6/24/57
Roy Brown,Let the Four Winds Blow,29,1957,7/1/57
Victor Young and His Singing Strings,(Main Theme) Around the World,26,1957,7/8/57
Johnnie & Joe,Over the Mountain; Across the Sea,8,1957,7/22/57
